Startup;Fonds;Titel;Vorname;Nachname;Geschlecht;Land
Sneaky Panda Ltd.;BITKRAFT Ventures Fund II, L.P.;"";"";"";"";""
Sneaky Panda Ltd.;"";;Niv;Touboul;"";""
Sneaky Panda Ltd.;"";;Ron;Rejwan;"";""
Solana;a16z - CNK Fund IV, L.P.;"";"";"";"";""
Solana;"";;Anatoly;Yakovenko;"";Vereinigte Staaten von Amerika (USA)
Solana;"";;Greg;Fitzgerald;"";Vereinigte Staaten von Amerika (USA)
Solana;"";;Zed;Zed;"";Vereinigte Staaten von Amerika (USA)
Solana;"";;Raj;Gokal;"";Vereinigte Staaten von Amerika (USA)
Solana;"";;Stephen;Akridge;"";Vereinigte Staaten von Amerika (USA)
SoundReply GmbH (How.fm);Join Capital Fund II GmbH & Co KG;"";"";"";"";""
SoundReply GmbH (How.fm);"";;Andreas;Kwiatkowski;"";""
SoundReply GmbH (How.fm);"";;Farhoud;Cheraghi;"";""
SpaceX;Redalpine Opportunity Fund SCS;"";"";"";"";""
SpaceX;"";;Elon;Musk;"";Vereinigte Staaten von Amerika (USA)
Spilsbury Holdings Inc. (Aztec Network);a16z - CNK Fund IV, L.P.;"";"";"";"";""
Sprocket Games, Inc.;BITKRAFT Ventures Fund II, L.P.;"";"";"";"";""
Stackers Inc.;Berlin Innovation Ventures 1 GmbH & Co KG;"";"";"";"";""
Superbloom Games, Inc.;BITKRAFT Ventures Fund II, L.P.;"";"";"";"";""
Superbloom Games, Inc.;"";;Emily;Yim;"";Vereinigte Staaten von Amerika (USA)
Superbloom Games, Inc.;"";;Ksusha;Zito;"";Vereinigte Staaten von Amerika (USA)
"Sweeps AI Inc (""ZARAZ"")";Honeystone Ventures Fund LP;"";"";"";"";""
"Sweeps AI Inc (""ZARAZ"")";"";;Yair;Dovrad;"";Vereinigte Staaten von Amerika (USA)
TEEMYCO;42Cap III GmbH & Co KG;"";"";"";"";""
TILT FIVE;BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
TILT FIVE;"";;Jeri;Ellsworth;;Vereinigte Staaten von Amerika (USA)
TMV;Nordic Eye II SCSp;"";"";"";"";""
Taxfix;Redalpine Capital S.C.S., SICAR III;"";"";"";"";""
Taxfix;"";;Mathis;Büchi;;Deutschland
Taxfix;"";;Lino;Teuteberg;;Deutschland
Taxfix;Redalpine Opportunity Fund SCS;"";"";"";"";""
Taxfix;"";;Mathis;Büchi;;Deutschland
Taxfix;"";;Lino;Teuteberg;;Deutschland
Taxy.io;42Cap III GmbH & Co KG;"";"";"";"";""
Taxy.io;"";;Sven;Peper;"";Deutschland
Taxy.io;"";;Daniel;Kirch;"";Deutschland
Taxy.io;"";;Steffen;Kirchhoff;"";Deutschland
Taxy.io;"";;Sven;Weber;"";Deutschland
Tempus Ex;ADvantage Sports Tech Fund LP;"";"";"";"";""
Tempus Ex;"";;Charlie;Ebersol;"";Vereinigte Staaten von Amerika (USA)
Tempus Ex;"";;Mike;Naquin;"";Vereinigte Staaten von Amerika (USA)
Tempus Ex;"";;Erik;Schwartz;"";Vereinigte Staaten von Amerika (USA)
The Action Network;BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
The Action Network;"";;Peter;Chernin;;Vereinigte Staaten von Amerika (USA)
The Fabricant;Greenfield One III GmbH & Co. KG;"";"";"";"";""
The Fabricant;"";;Kerry;Murphy;"";Niederlande
The Fabricant;"";;Amber;Slooten;"";Niederlande
The Fabricant;"";;Adriana;Hoppenbrouwer;"";Niederlande
Theai, Inc. (Inworld Al);BITKRAFT Ventures Fund II, L.P.;"";"";"";"";""
Theai, Inc. (Inworld Al);"";;Ilya;Gelfenbeyn;"";Vereinigte Staaten von Amerika (USA)
Theai, Inc. (Inworld Al);"";;Michael;Ermolenko;"";Vereinigte Staaten von Amerika (USA)
Theorycraft Games Inc.;BITKRAFT Ventures Fund II, L.P.;"";"";"";"";""
Theorycraft Games Inc.;"";;Areeb;Pirani;"";""
Theorycraft Games Inc.;"";;Joe;Tung;"";""
Theorycraft Games Inc.;"";;Michael;Evans;"";""
Tolremo Therapeutics AG;Redalpine Capital S.C.S., SICAR III;"";"";"";"";""
Tolremo Therapeutics AG;"";;Stefanie;Flückiger;;Schweiz
Tolremo Therapeutics AG;"";;Jens;Okkels;;Schweiz
Tonk Tonk Games;BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
Tonk Tonk Games;"";;Joon;Kim;;Vereinigte Staaten von Amerika (USA)
Track160;ADvantage Sports Tech Fund LP;"";"";"";"";""
Track160;"";;Micky;Tamir;"";Israel
Track160;"";;Michael;Birnboim;"";Israel
Trioscope Studios, Inc.;BITKRAFT Ventures Fund II, L.P.;"";"";"";"";""
Trioscope Studios, Inc.;"";;L.C.;Crowley;"";Vereinigte Staaten von Amerika (USA)
Trioscope Studios, Inc.;"";;Greg;Jonkajtys;"";Vereinigte Staaten von Amerika (USA)
Trioscope Studios, Inc.;"";;Brandon;Barr;"";Vereinigte Staaten von Amerika (USA)
Tripp Inc;BITKRAFT Ventures Fund II, L.P.;"";"";"";"";""
Tripp Inc;"";;Nanea;Reeves;"";Vereinigte Staaten von Amerika (USA)
Tripp Inc;"";;Zachary;Norman;"";Vereinigte Staaten von Amerika (USA)
Umiami;Redalpine Capital S.C.S., SICAR VI;"";"";"";"";""
Umiami;"";;Tristan;Maurel;"";Frankreich
Umiami;"";;Martin;Habfast;"";Frankreich
Umiami;"";;Clémence;Pedraza;"";Frankreich
Unbound Nation AG;Greenfield One III GmbH & Co. KG;"";"";"";"";""
Unbound Nation AG;"";;Philipp;Hübner;"";Schweiz
Unbound Nation AG;"";;Gennadi;Tschernow;"";Schweiz
Unbound Nation AG;"";;Steven;Figura;"";Schweiz
Underlining LLC;Nordic Eye II SCSp;"";"";"";"";""
Underlining LLC;"";;Razvan;Romanescu;"";Vereinigte Staaten von Amerika (USA)
Underlining LLC;"";;Aidan;Cole;"";Vereinigte Staaten von Amerika (USA)
Uniswap;a16z - CNK Fund IV, L.P.;"";"";"";"";""
Utopia Music AG;Nordic Eye II SCSp;"";"";"";"";""
Utopia Music AG;"";;Mattias;Hjelmstedt;"";Schweiz
VOICEMOD;BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
VOICEMOD;"";;Jaime;Bosch;;Spanien
Valispace GmbH;JOIN Capital Fund I GmbH & Co. KG;"";"";"";"";""
Valispace GmbH;"";;Marco;Witzmann;;Deutschland
Valispace GmbH;"";;Louise;Lindblad;;Deutschland
Valispace GmbH;"";;Simon;Bussche;;Deutschland
Valispace GmbH;"";;Hardware;Club;;Deutschland
Vamstar;Alpha Intelligence Capital Fund 1;"";"";"";"";""
Vamstar;"";;Praful;Metha;mänlich;Groß-Britanien (UK)
Vamstar;"";;Richard;Freeman;mänlich;Groß-Britanien (UK)
Veo Robotics;Alpha Intelligence Capital Fund 1;"";"";"";"";""
Veo Robotics;"";;Scott;Denenberg;"";Vereinigte Staaten von Amerika (USA)
Veo Robotics;"";;Clara;Vu;"";Vereinigte Staaten von Amerika (USA)
Veo Robotics;"";;Patrick;Sobalvarro;"";Vereinigte Staaten von Amerika (USA)
Veritas Entertainment;BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
Veritas Entertainment;"";;Thomas;Fellger;;Deutschland
Veritas Entertainment;"";;Markus;Jaisle;;Deutschland
Veritas Entertainment;"";;Dorian;Gorr;;Deutschland
Vermut Senior Community, Inc.;BITKRAFT Ventures Fund II, L.P.;"";"";"";"";""
Vermut Senior Community, Inc.;"";;Enric;Duran;"";Vereinigte Staaten von Amerika (USA)
Vermut Senior Community, Inc.;"";;Fernando;Dellepiane;"";Vereinigte Staaten von Amerika (USA)
Vermut Senior Community, Inc.;"";;Jose;Sánchez;"";Vereinigte Staaten von Amerika (USA)
Versantis AG;Redalpine Capital S.C.S., SICAR III;"";"";"";"";""
Versantis AG;"";;Vincent;Forster;;Schweiz
Versantis AG;"";;Meriam;Kabbaj;;Schweiz
Virtuo Technologies SAS;Alpha Intelligence Capital Fund 1;"";"";"";"";""
Virtuo Technologies SAS;"";;Karim;Kaddoura;"";Frankreich
Virtuo Technologies SAS;"";;Thibault;Chassagne;"";Frankreich
Volley Inc;BITKRAFT Ventures Opportunity Fund I, L.P;"";"";"";"";""
WIZZCAD;JOIN Capital Fund I GmbH & Co. KG;"";"";"";"";""
WIZZCAD;"";;Marc;Germain;;Frankreich
WIZZCAD;"";;Cyril;Perrin;;Frankreich
Wasp Inc.;Berlin Innovation Ventures 1 GmbH & Co KG;"";"";"";"";""
WeMeta;Greenfield One III GmbH & Co. KG;"";"";"";"";""
WeMeta;"";;Winston;Robson;mänlich;Vereinigte Staaten von Amerika (USA)
WeMeta;"";;Ali;Vira;mänlich;Vereinigte Staaten von Amerika (USA)
WeMeta;"";;Nick;Brons;mänlich;Vereinigte Staaten von Amerika (USA)
WeWeb;42CAP II GmbH & Co. KG;"";"";"";"";""
WeWeb;"";;Raphaël;Goldsztejn;;Frankreich
WeWeb;"";;Florian;Briou;;Frankreich
Welinq;Quantonation I FPCI;"";"";"";"";""
Whaly Inc.;Redalpine Capital S.C.S., SICAR VI;"";"";"";"";""
Wingback Inc.;42Cap III GmbH & Co KG;"";"";"";"";""
Wolf3D (Wolfprint 3D);a16z - CNK Seed Fund I, L.P.;"";"";"";"";""
Wolf3D (Wolfprint 3D);"";;Timmu;Toke;"";Polen
WorkFusion;Alpha Intelligence Capital Fund 1;"";"";"";"";""
WorkFusion;"";;Andrew;Volkov;;Vereinigte Staaten von Amerika (USA)
WorkFusion;"";;Max;Yankelevich;;Vereinigte Staaten von Amerika (USA)
Wreno;Honeystone Ventures Fund LP;"";"";"";"";""
Wreno;"";;Charlotte;Schell;"";""
Wreno;"";;Mark;Barton;"";""
X-37;Alpha Intelligence Capital Fund 1;"";"";"";"";""
X-37;"";;David;Collier;;""
X-37;"";;Matthew;Kerby;;""
X-37;"";;James;Larrick;;""
X-37;"";;Andrew;Perlman;;""
X-37;"";;Anie;Roche;;""
X-37;"";;Ed;Schnipper;;""
Yewno;Alpha Intelligence Capital Fund 1;"";"";"";"";""
Yewno;"";;Ruggero;Gramatica;;Vereinigte Staaten von Amerika (USA)
Yewno;"";;Ruth;Pickering;;Vereinigte Staaten von Amerika (USA)
Zama SAS;Berlin Innovation Ventures 1 GmbH & Co KG;"";"";"";"";""
Zelros;42CAP II GmbH & Co. KG;"";"";"";"";""
Zelros;"";;Christophe;Bourguignat;;Frankreich
Zelros;"";;Fabien;Vauchelles;;Frankreich
Zelros;"";;Damien;Philippon;;Frankreich
ZenJob;Redalpine Capital S.C.S., SICAR III;"";"";"";"";""
ZenJob;"";;Fritz;Trott;;Deutschland
ZenJob;"";;Cornelius;Rantzau;;Deutschland
ZenJob;"";;Cihan;Aksakal;;Deutschland
ZenJob;"";;Frederik;Fahning;;Deutschland
ZenJob;Redalpine Opportunity Fund SCS;"";"";"";"";""
ZenJob;"";;Fritz;Trott;;Deutschland
ZenJob;"";;Cornelius;Rantzau;;Deutschland
ZenJob;"";;Cihan;Aksakal;;Deutschland
ZenJob;"";;Frederik;Fahning;;Deutschland
ZeroEyes, Inc.;Alpha Intelligence Capital Fund 1;"";"";"";"";""
ZeroEyes, Inc.;"";;Tim;Sulzer;"";Vereinigte Staaten von Amerika (USA)
ZeroEyes, Inc.;"";;Mike;Lahiff;"";Vereinigte Staaten von Amerika (USA)
ZeroEyes, Inc.;"";;Rob;Huberty;"";Vereinigte Staaten von Amerika (USA)
ZeroEyes, Inc.;"";;Sam;Alaimo;"";Vereinigte Staaten von Amerika (USA)
ZeroEyes, Inc.;"";;Dustin;Brooks;"";Vereinigte Staaten von Amerika (USA)
Zharta;Greenfield One III GmbH & Co. KG;"";"";"";"";""
Zharta;"";;Pedro;Granate;mänlich;Portugal
Zharta;"";;Diogo;Pires;mänlich;Portugal
Zharta;"";;Nuno;Cortesão;mänlich;Portugal
aidoc;Alpha Intelligence Capital Fund 1;"";"";"";"";""
aidoc;"";;Elad;Walach;;Israel
aidoc;"";;Michael;Braginsky;;Israel
aidoc;"";;Guy;Reiner;;Israel
aktiia;Redalpine Capital S.C.S., SICAR III;"";"";"";"";""
aktiia;"";;Mattia;Bertschi;;Schweiz
aktiia;"";;Josep;Solà;;Schweiz
aktiia;Redalpine Opportunity Fund SCS;"";"";"";"";""
aktiia;"";;Mattia;Bertschi;;Schweiz
aktiia;"";;Josep;Solà;;Schweiz
allcyte;42Cap III GmbH & Co KG;"";"";"";"";""
allcyte;"";;Berend;Snijder;"";Österreich
allcyte;"";;Giulio;Superti-Furga;"";Österreich
allcyte;"";;Gregory;Vladimer;"";Österreich
allcyte;"";;Nikolaus;Krall;"";Österreich
alpha paw;Nordic Eye II SCSp;"";"";"";"";""
alpha paw;"";;Ramon;van Meer;"";Vereinigte Staaten von Amerika (USA)
beWanted;JOIN Capital Fund I GmbH & Co. KG;"";"";"";"";""
beWanted;"";;Juan;Torroba;;Spanien
cioplenu GmbH (operations1);42CAP II GmbH & Co. KG;"";"";"";"";""
cioplenu GmbH (operations1);"";;Daniel;Grobe;;Deutschland
cioplenu GmbH (operations1);"";;Benjamin;Brockmann;;Deutschland
codavel S.A.;Berlin Innovation Ventures 1 GmbH & Co KG;"";"";"";"";""
codavel S.A.;"";;Diogo;Ferreira;"";Portugal
codavel S.A.;"";;Paulo;Oliveira;"";Portugal
codavel S.A.;"";;Rui;Costa;"";Portugal
codesphere GmbH;42Cap III GmbH & Co KG;"";"";"";"";""
codesphere GmbH;"";;Elias;Groll;"";Deutschland
codesphere GmbH;"";;Christian;Siemoneit;"";Deutschland
codesphere GmbH;"";;Jonas;Zipprick;"";Deutschland
commercetools GmbH;Reimann Investor Management GmbH & Co. 2016 KG;"";"";"";"";""
commercetools GmbH;"";;Dirk;Hoerig;"";Deutschland
commercetools GmbH;"";;Denis;Werner;"";Deutschland
conexus AI, Inc.;Alpha Intelligence Capital Fund 1;"";"";"";"";""
conexus AI, Inc.;"";;Eric;Daimler;;Vereinigte Staaten von Amerika (USA)
conexus AI, Inc.;"";;Ryan;Wisnesky;;Vereinigte Staaten von Amerika (USA)
contractzen;Nordic Eye II SCSp;"";"";"";"";""
contractzen;"";;Markus;Mikola;"";Finnland
contractzen;"";;Riitta;Raesmaa;"";Finnland
crosser;42CAP II GmbH & Co. KG;"";"";"";"";""
crosser;"";;Johan;Jonzon;;""
crosser;"";;Martin;Thunman;;""
crosser;"";;Ulf;Bjorklund;;""
deepset GmbH;Berlin Innovation Ventures 1 GmbH & Co KG;"";"";"";"";""
deepset GmbH;"";;Timo;Möller;"";Deutschland
deepset GmbH;"";;Malte;Pietsch;"";Deutschland
deepset GmbH;"";;Milos;Rusic;"";Deutschland
drishti;Alpha Intelligence Capital Fund 1;"";"";"";"";""
drishti;"";;Ashish;Gupta;;Vereinigte Staaten von Amerika (USA)
drishti;"";;Krishnendu;Chaudhury;;Vereinigte Staaten von Amerika (USA)
drishti;"";;Prasad;Akella;;Vereinigte Staaten von Amerika (USA)
ebot7;42CAP II GmbH & Co. KG;"";"";"";"";""
ebot7;"";;Fabian;Beringer;;Deutschland
ebot7;"";;Xaver;Lehmann;;Deutschland
ebot7;"";;Maximilian;Gerer;;Deutschland
emporix;42CAP II GmbH & Co. KG;"";"";"";"";""
emporix;"";;Andi;Schneider;;Schweiz
evolutionQ;Quantonation I FPCI;"";"";"";"";""
evolutionQ;"";;Michele;Mosca;"";Kanada
evolutionQ;"";;Norbert;Lütkenhaus;"";Kanada
finiata;Redalpine Capital S.C.S., SICAR III;"";"";"";"";""
finiata;"";;Jan;Einfeld;;Deutschland
finiata;"";;Amit;Kahana;;Deutschland
finiata;"";;Alexander;Beresford;;Deutschland
finiata;"";;Sebastian;Diemer;;Deutschland
flowtyNFT Inc.;Greenfield One III GmbH & Co. KG;"";"";"";"";""
flowtyNFT Inc.;"";;Michael;Levy;"";Vereinigte Staaten von Amerika (USA)
flowtyNFT Inc.;"";;Austin;Kline;"";Vereinigte Staaten von Amerika (USA)
flowtyNFT Inc.;"";;Guillaume;Huot;"";Vereinigte Staaten von Amerika (USA)
iLOF;Berlin Innovation Ventures 1 GmbH & Co KG;"";"";"";"";""
iLOF;"";;Luís;Valente;"";Groß-Britanien (UK)
iLOF;"";;Mehak;Mumtaz;"";Groß-Britanien (UK)
iLOF;"";;Paula;Sampaio;"";Groß-Britanien (UK)
iLOF;"";;Joana;Paiva;"";Groß-Britanien (UK)
mPower Technology, Inc.;Cottonwood Technology Fund III;"";"";"";"";""
mPower Technology, Inc.;"";;Dr. Murat;Okandan;"";Vereinigte Staaten von Amerika (USA)
mostlyAI;42CAP II GmbH & Co. KG;"";"";"";"";""
mostlyAI;"";;Roland;Boubela;;Österreich
mostlyAI;"";;Michael;Platzer;;Österreich
mostlyAI;"";;Klaudius;Kalcher;;Österreich
nannyML NV;Berlin Innovation Ventures 1 GmbH & Co KG;"";"";"";"";""
nannyML NV;"";;Hakim;Elakhrass;"";Belgien
nannyML NV;"";;Wiljan;Cools;"";Belgien
nannyML NV;"";;Wojtek;Kuberski;"";Belgien
natif.ai GmbH;Redalpine Capital S.C.S., SICAR VI;"";"";"";"";""
natif.ai GmbH;"";;Manuel;Zapp;"";Deutschland
natif.ai GmbH;"";;Johannes;Korves;"";Deutschland
occtoo AB;42Cap III GmbH & Co KG;"";"";"";"";""
occtoo AB;"";;Daniel;Brdarski;"";""
occtoo AB;"";;Jimmy;Ekbäck;"";""
occtoo AB;"";;Niclas;Mollin;"";""
ready2order;Reimann Investor Management GmbH & Co. 2016 KG;"";"";"";"";""
ready2order;"";;Markus;Bernhart;;Österreich
ready2order;"";;Christopher;Fuchs;;Österreich
ready2order;"";;Christoph;Zhu;;Österreich
scoutbee;42CAP II GmbH & Co. KG;"";"";"";"";""
scoutbee;"";;Lee;Galbraith;;Deutschland
scoutbee;"";;Gregor;Stühler;;Deutschland
scoutbee;"";;Christian;Heinrich;;Deutschland
smatch GmbH;42Cap III GmbH & Co KG;"";"";"";"";""
smatch GmbH;"";;Max;Groberg;"";Deutschland
smatch GmbH;"";;Hans-Martin;Vetter;"";Deutschland
starform;BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
starform;"";;Josh;Rosen;;Vereinigte Staaten von Amerika (USA)
starform;"";;Lou;Fasulo;;Vereinigte Staaten von Amerika (USA)
starform;"";;Taylor;Daynes;;Vereinigte Staaten von Amerika (USA)
superface;42CAP II GmbH & Co. KG;"";"";"";"";""
superface;"";;Radek;Novotny;;Tschecische Republik
superface;"";;Zdenek;Nemec;;Tschecische Republik
usercentrics;Reimann Investor Management GmbH & Co. 2016 KG;"";"";"";"";""
usercentrics;"";;Mischa;Rürup;;Deutschland
usercentrics;"";;Vinzent;Ellissen;;Deutschland
usercentrics;"";;Lisa;Gradow;;Deutschland
voize;Redalpine Capital S.C.S., SICAR VI;"";"";"";"";""
voize;"";;Fabio;Schmidberger;"";Deutschland
voize;"";;Marcel;Schmidberger;"";Deutschland
voize;"";;Erik;Ziegler;"";Deutschland
volders;Reimann Investor Management GmbH & Co. 2016 KG;"";"";"";"";""
volders;"";;Jan;Ansink;;Deutschland
volders;"";;Elvio;Viscosa;;Deutschland
volders;"";;Alexander;Krieger;;Deutschland
